Theme,Subject,Topic,Lede
"Business, Industry and Trade",,,Lede 1
,Business,,Lede 2
,,"Activity, Size and Location",Lede 3
,,Business Innovation,Lede 4
,,Business Services,Lede 5
,Changes to Business,,Lede 6
,,Bankruptcy/Insolvency,Lede 7
,,"Business Births, Deaths and Survival Rates",Lede 8
,,Mergers and Acquisitions,Lede 9
,Construction Industry,,Lede 10
,International Trade,,Lede 11
,IT and Internet Industry,,Lede 12
,Manufacturing and Production Industry,,Lede 13
,Retail Industry,,Lede 14
,Tourism Industry,,Lede 15
Economy,,,Lede 16
,Economic Output and Productivity,,Lede 17
,,Output,Lede 18
,,Productivity Measures,Lede 19
,,Public Services Productivity,Lede 20
,Environmental Accounts,,Lede 21
,"Government, Public Sector and Taxes",,Lede 22
,,Local Government Finance,Lede 23
,,Public Sector Finance,Lede 24
,,Public Spending,Lede 25
,,Research and Development Expenditure,Lede 26
,,Taxes and Revenue,Lede 27
,Gross Domestic Product (GDP),,Lede 28
,Gross Value Added (GVA),,Lede 29
,Inflation and Price Indices,,Lede 30
,"Investments, Pensions and Trusts",,Lede 31
,National Accounts,,Lede 32
,,Balance of Payments,Lede 33
,,Satellite Accounts,Lede 34
,,Supply and Use Tables,Lede 35
,,UK Sector Accounts,Lede 36
,Regional Accounts,,Lede 37
,,Gross Disposable Household Income,Lede 38
Employment and Labour Market,,,Lede 39
,People in Work,,Lede 40
,,Earnings and Working Hours,Lede 41
,,Employment and Employee Types,Lede 42
,,Labour Productivity,Lede 43
,,Workplace Disputes and Working Conditions,Lede 44
,,Workplace Pensions,Lede 45
,People not in Work,,Lede 46
,,Unemployment,Lede 47
,Public Sector Personnel,,Lede 48
"People, Population and Community",,,Lede 49
,"Births, Deaths and Marriages",,Lede 50
,,Adoption,Lede 51
,,Ageing,Lede 52
,,Conception and Fertility Rates,Lede 53
,,Deaths,Lede 54
,,Divorce,Lede 55
,,Families,Lede 56
,,Life Expectancies,Lede 57
,,Live Births,Lede 58
,,"Marriage, Cohabitation and Civil Partnerships",Lede 59
,,Maternities,Lede 60
,,Stillbirths,Lede 61
,Community,,Lede 62
,,Cohesion and Participation,Lede 63
,,Neighbourhoods,Lede 64
,Crime and Justice,,Lede 65
,Cultural Identity,,Lede 66
,,Ethnicity,Lede 67
,,Language,Lede 68
,,Religion,Lede 69
,,Sexuality,Lede 70
,Education and Childcare,,Lede 71
,Elections,,Lede 72
,,Electoral Registration,Lede 73
,,General Elections,Lede 74
,,Local Government Elections,Lede 75
,Health and Social Care,,Lede 76
,,Causes of Death,Lede 77
,,Child Health,Lede 78
,,Conditions and Diseases,Lede 79
,,Disability,Lede 80
,,"Drug use, Alcohol and Smoking",Lede 81
,,Health Care System,Lede 82
,,Health Inequalities,Lede 83
,,Health and Life Expectancies,Lede 84
,,Health and Well-being,Lede 85
,,Mental Health,Lede 86
,,Social Care,Lede 87
,Household Characteristics,,Lede 88
,,Home Internet and Social Media Usage,Lede 89
,Housing,,Lede 90
,Leisure and Tourism,,Lede 91
,Personal and Household Finances,,Lede 92
,,Debt,Lede 93
,,Expenditure,Lede 94
,,Income and Wealth,Lede 95
,,"Pensions, Savings and Investments",Lede 96
,Population and Migration,,Lede 97
,,International Migration,Lede 98
,,Migration within the UK,Lede 99
,,Population Estimates,Lede 100
,,Population Projections,Lede 101
,Well-being,,Lede 102
