Theme,Subject,Topic,Lede
"Business, industry and trade",,,"Statistics about the production and trade of goods and services help us identify patterns and trends in the UK economy. This section includes figures on retail sales, business activity, indices for the construction and manufacturing industries and international trade."
,Business,,"We focus on businesses that are registered for VAT or PAYE, which means some very small businesses are not covered. We publish the number of businesses in the UK, with regional breakdowns. Business size is based on employment and turnover. Business activity specifies the type of industry."
,,"Activity, size and location",Information provides a count of enterprises and local units produced from a snapshot of the Inter Departmental Business Register.
,,Business innovation,"We provide estimates focussed of R&D performed in and funded by the following four sectors of the economy; Business Enterprise,
Higher Education, Government (including Research Councils) and Private Non-Profit organisations."
,,Business services,
,Changes to business,,"Statistics here include figures that show how UK businesses are growing, surviving and changing over time. These figures are an informal indicator of confidence in the UK economy."
,,Bankruptcy/insolvency,
,,"Business births, deaths and survival rates",Data on business births measures businesses that register as VAT or PAYE businesses in a given time period. Data on business deaths measures businesses that have ceased to trade in a given time period. Business survival rates measure the percentage of businesses still registered a given number of years after they first registered.
,,Mergers and acquisitions,A merger is when two companies or organisations of a similar size agree to join together to operate as a single company under a new name. An acquisition is when one company buys the shares of a second company which is usually smaller. Other statistics here are on 'disposals': when a company or organisation sells or liquidates an asset or a subsidiary.
,Construction industry,,"Businesses involved in the construction of  new buildings and the repair or alteration of existing properties. Also included are civil engineering companies. The construction industry's output is defined as the amount charged by construction companies to customers for the value of work produced in a given period. Users of construction industry data include central government, Eurostat and industry analysts."
,International trade,,"Goods and services traded across the UK's international borders. The statistics give a breakdown of the types of goods traded and the general trends in international trade. Uses of the data include the UK Trade statistical bulletin, which gives totals of imports and exports."
,It and internet industry,,The value and percentage of business sales that take place over the internet. We also measure the percentage of businesses that have a website and a broadband connection. These figures allow us to gauge the importance of the internet to UK businesses.
,Manufacturing and production industry,,"Manufacturing is the biggest industry in the production sector, which also includes the mining & quarrying, energy supply and water supply & waste management industries. The statistics here are widely used in the private and public sector, particularly by the Bank of England, the Treasury and the Office for Budget Responsibility, to help with policy and decision making."
